"0","1","2","id","transect","block","site_status"
3,2.2630722855947,1.88939378166422,"GS002",1,1,"Native"
2,1.99836493494788,1.99673476402075,"GS004",1,1,"Native"
2,1.53362406443005,1.34949846380668,"GS005",1,1,"Native"
3,2.85170036511593,2.74635106255548,"GS006",1,1,"Native"
1,1,1,"GS025",1,2,"Native"
4,3.73461755503456,3.57872494861725,"GS026",1,2,"Native"
3,2.41704600048693,2.0593392670675,"GS039",1,3,"Native"
1,1,1,"GS040",1,3,"Native"
1,1,1,"GS041",1,3,"Native"
2,1.82587674896549,1.69985421222377,"GS042",1,3,"Native"
4,2.76293809593158,2.24663040947728,"GS045",1,3,"Native"
1,1,1,"GS046",1,3,"Native"
3,2.97620965902527,2.95189431207249,"GS056",2,1,"Native"
4,3.3957814806545,3.05382397761212,"GS058",2,1,"Native"
1,1,1,"GS059",2,1,"Native"
2,1.74357718816976,1.58526929761147,"GS076",2,2,"Native"
2,1.62338983173447,1.44163205049386,"GS077",2,2,"Native"
1,1,1,"GS089",2,3,"Native"
3,2.4310276530152,2.10187047709727,"GS090",2,3,"Native"
1,1,1,"GS092",2,2,"Native"
4,3.58808209495992,3.30680451164662,"GS095",2,2,"Native"
1,1,1,"GS096",2,2,"Native"
1,1,1,"GS097",2,2,"Native"
2,1.4607749126347,1.28278380531737,"GS122",3,1,"Native"
2,1.99871259734738,1.99742822976698,"GS123",3,1,"Native"
1,1,1,"GS124",3,1,"Native"
1,1,1,"GS132",3,2,"Native"
4,3.50131491028177,3.18343552592467,"GS133",3,2,"Native"
3,2.90237811689519,2.80518807615627,"GS134",3,2,"Native"
3,2.97923293575754,2.95923524051974,"GS161",3,3,"Native"
1,1,1,"GS162",3,3,"Native"
1,1,1,"GS165",3,3,"Native"
1,1,1,"GS166",3,3,"Native"
4,3.05327369236005,2.62778764731668,"GS167",3,3,"Native"
2,1.99902760351629,1.99805693903929,"GS170",4,1,"Native"
1,1,1,"GS171",4,1,"Native"
1,1,1,"GS174",4,1,"Native"
2,1.77132054210538,1.62226654977995,"GS175",4,1,"Native"
1,1,1,"GS176",4,1,"Native"
1,1,1,"GS178",4,1,"Native"
1,1,1,"GS190",4,2,"Native"
1,1,1,"GS192",4,2,"Native"
