"asv","kingdom","phylum","subphylum","class","order","suborder","superfamily","family","subfamily","tribe","genus","species","percent_match","status"
"ASV_18s_12","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cucujoidea","Nitidulidae","Cillaeinae",NA,"Conotelus","sp",97.9,"unknown"
"ASV_18s_42","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cucujoidea","Nitidulidae","Cillaeinae",NA,"Macrostola","straminea",98.6,"unknown"
"ASV_28s_258","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cucujoidea","Nitidulidae","Cillaeinae",NA,"Macrostola","straminea",98.2,"unknown"
"ASV_28s_65","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Cucujoidea","Nitidulidae","Cillaeinae",NA,"Macrostola","straminea",98.6,"unknown"
"ASV_28s_53","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Chironomoidea","Ceratopogonidae","Forcipomyiinae",NA,"Atrichopogon","minutus",95.8,"unknown"
"ASV_28s_172","Metazoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha",NA,"Entomobryoidea","Entomobryidae","Entomobryinae",NA,"Homidia","sp",98.3,"unknown"
"ASV_16s_13","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Cimicoidea","Miridae","Phylinae","Hallodapini","Cremnocephalus","albolineatus",92.6,"unknown"
"ASV_28s_33","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera",NA,NA,NA,NA,NA,NA,"sp",96.1,"unknown"
"ASV_16s_263","Metazoa","Arthropoda","Hexapoda","Insecta","Lepidoptera","Glossata","Noctuoidea","Noctuidae","Noctuinae","Noctuini","Noctua","pronuba",97.1,"unknown"
"ASV_28s_111","Metazoa","Arthropoda","Hexapoda","Insecta","Thysanoptera","Terebrantia","Thripoidea","Thripidae","Thripinae",NA,"Pezothrips","kellyanus",100,"unknown"
"ASV_18s_158","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Elateroidea","Elateridae","Agrypninae","Agrypnini","Adelocera","sp",99.3,"Non-native"
"ASV_18s_37","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Scarabaeoidea","Scarabaeidae","Aphodiinae",NA,"Ataenius","sp",100,"Non-native"
"ASV_28s_260","Metazoa","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Scarabaeoidea","Scarabaeidae","Aphodiinae",NA,"Ataenius","strigatus",98.2,"Non-native"
"ASV_28s_440","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"melanogaster",99.6,"Non-native"
"ASV_16s_27","Metazoa","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Ephydroidea","Drosophilidae","Drosophilinae","Drosophilini",NA,"vulcana",100,"Non-native"
"ASV_28s_75","Metazoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha",NA,"Entomobryoidea","Paronellidae",NA,NA,"Salina","celebensis",99.1,"Non-native"
"ASV_28s_34","Metazoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha",NA,"Entomobryoidea","Paronellidae",NA,NA,"Salina","celebensis",100,"Non-native"
"ASV_28s_388","Metazoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha",NA,"Entomobryoidea","Paronellidae",NA,NA,"Salina","celebensis",99.6,"Non-native"
"ASV_18s_219","Metazoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha",NA,"Entomobryoidea","Paronellidae",NA,NA,"Salina","celebensis",98,"Non-native"
"ASV_28s_180","Metazoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha",NA,"Entomobryoidea","Paronellidae",NA,NA,"Salina","celebensis",99.1,"Non-native"
"ASV_28s_28","Metazoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha",NA,"Tomoceroidea","Tomoceridae",NA,NA,"Tomocerus","jilinensis",98.3,"Non-native"
"ASV_18s_127","Metazoa","Arthropoda","Hexapoda","Collembola","Entomobryomorpha",NA,"Tomoceroidea","Tomoceridae",NA,NA,"Tomocerus","sp",98,"Non-native"
"ASV_28s_263","Metazoa","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Cimicoidea","Miridae","Orthotylinae","Orthotylini","Heterotoma","meriopterum",99.1,"Non-native"
